NAME,BRAND,UNIT,CATEGORY,SUB-CATEGORY,SKU (Leave blank to auto generate sku),BARCODE TYPE,MANAGE STOCK (1=yes 0=No),ALERT QUANTITY,EXPIRES IN,EXPIRY PERIOD UNIT (months/days),APPLICABLE TAX,Selling Price Tax Type (inclusive or exclusive),PRODUCT TYPE (single or variable),VARIATION NAME (Keep blank if product type is single),VARIATION VALUES (| seperated values & blank if product type if single),VARIATION SKUs (| seperated values & blank if product type if single),PURCHASE PRICE (Including tax),PURCHASE PRICE (Excluding tax),PROFIT MARGIN,SELLING PRICE,OPENING STOCK,LOCATION,EXPIRY DATE,ENABLE IMEI OR SERIAL NUMBER(1=yes 0=No),WEIGHT,RACK,ROW,POSITION,IMAGE,PRODUCT DESCRIPTION,CUSTOM FIELD 1,CUSTOM FIELD 2,CUSTOM FIELD 3,CUSTOM FIELD 4,NOT FOR SELLING(1=yes 0=No),PRODUCT LOCATIONS
Eyebet 0.10%,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,30.00,,30.00,,,,0,,,,,,,Betamethasone Sodium Phosphate,0.10%,,,0,
Eye-Q,Nipa Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,"Vitamin C, Vitamin E, Lutein, Copper & Zinc",,,,0,
Eye Relief 99.05%,Popular Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,250.00,,250.00,,,,0,,,,,,,Irrigating Solution,99.05%,,,0,
Eye Gel 2%,Opso Saline Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,120.45,,120.45,,,,0,,,,,,,Hydroxypropyl Methylcellulose,2%,,,0,
Exzilor 0.5 mg+10 mg,Sun Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,4.00,,4.00,,,,0,,,,,,,Flupentixol + Melitracen,0.5 mg+10 mg,,,0,
Exworm 400 mg,Leon Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,4.00,,4.00,,,,0,,,,,,,Albendazole,400 mg,,,0,
Exworm 200 mg/5 ml,Leon Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Albendazole,200 mg/5 ml,,,0,
Exuten 0.5 mg+10 mg,Pharmadesh Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,3.51,,3.51,,,,0,,,,,,,Flupentixol + Melitracen,0.5 mg+10 mg,,,0,
Extreme 30 mg,Chemist Laboratories  Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,25.00,,25.00,,,,0,,,,,,,Dapoxetine Hydrochloride,30 mg,,,0,
Extravit X 6 mg+200 mg+50 mg,Salton Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,2.50,,2.50,,,,0,,,,,,,Betacarotene + Vitamin C + Vitamin E,6 mg+200 mg+50 mg,,,0,
Extravit Plus,Salton Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,3.01,,3.01,,,,0,,,,,,,Iron + Folic Acid + Vitamin B Complex + Vitamine C + Zinc Sulfate,,,,0,
Extravit M,Salton Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,1.43,,1.43,,,,0,,,,,,,Multivitamin & Multimineral,,,,0,
Extravit B,Salton Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,0.44,,0.44,,,,0,,,,,,,Vitamin B complex,,,,0,
Extranil 10 mg/2 ml,General Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,30.10,,30.10,,,,0,,,,,,,Procyclidine Hydrochloride,10 mg/2 ml,,,0,
Abaclor 500 mg,ACI Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,40.27,,40.27,,,,0,,,,,,,Cefaclor Monohydrate,500 mg,,,0,
Ezyfeel 10 mg,Euro Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Sodium Picosulfate,10 mg,,,0,
EzyColon (10 mg+3.5 gm+12 gm)/sachet,Pharmasia Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,90.00,,90.00,,,,0,,,,,,,Sodium Picosulfate + Magnesium Oxide + Citric Acid,(10 mg+3.5 gm+12 gm)/sachet,,,0,
EzyColon (10 mg+3.5 gm+12 gm)/160 ml,Pharmasia Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,350.00,,350.00,,,,0,,,,,,,Sodium Picosulfate + Magnesium Oxide + Citric Acid,(10 mg+3.5 gm+12 gm)/160 ml,,,0,
Ezy 200 mg,Eskayef Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Celecoxib,200 mg,,,0,
Ezy 100 mg,Eskayef Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,4.50,,4.50,,,,0,,,,,,,Celecoxib,100 mg,,,0,
Ezolid 600 mg,ACI Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,85.00,,85.00,,,,0,,,,,,,Linezolid,600 mg,,,0,
Ezolid 400 mg,ACI Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,60.00,,60.00,,,,0,,,,,,,Linezolid,400 mg,,,0,
Ezitor 10 mg+10 mg,Navana Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,14.00,,14.00,,,,0,,,,,,,Atorvastatin + Ezetimibe,10 mg+10 mg,,,0,
Ezitor 20 mg+10 mg,Navana Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,22.00,,22.00,,,,0,,,,,,,Atorvastatin + Ezetimibe,20 mg+10 mg,,,0,
Ezith 500 mg,Edruc Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,35.00,,35.00,,,,0,,,,,,,Azithromycin Dihydrate,500 mg,,,0,
Ezith 200 mg/5 ml,Edruc Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,85.01,,85.01,,,,0,,,,,,,Azithromycin Dihydrate,200 mg/5 ml,,,0,
Ezith 250 mg,Edruc Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,29.97,,29.97,,,,0,,,,,,,Azithromycin Dihydrate,250 mg,,,0,
Eziride 150 mcg,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Hyoscine Hydrobromide,150 mcg,,,0,
Ezipas 0.4 mg,Leon Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Tamsulosin  Hydrochloride,0.4 mg,,,0,
Eziflo-D 0.4 mg+0.5 mg,Biopharma Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,20.00,,20.00,,,,0,,,,,,,Tamsulosin Hydrochloride + Dutasteride,0.4 mg+0.5 mg,,,0,
Eziflo 0.4 mg,Biopharma Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Tamsulosin  Hydrochloride,0.4 mg,,,0,
Ezide 80 mg,Edruc Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Gliclazide,80 mg,,,0,
